Video Name,Channel Name,Comment Id,Name,Comment,Date,Likes
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugw1pQQ4AqxjbbmsUZ54AaABAg,BeerBiceps,"1:40 - What has his last 10 years been like?
2:40- Did he ever think he’d be a monk in the future?
3:23 - Childhood story
4:43 - His dad
5:26 - How he tutored financially poor students 
6:55 - How he decided to join the monastery
9:11 - First experience after joining the monastery
9:41 - Importance of humility
11:40 - Dr. Strange
12:40 - 1st month in the monastery
16:17 - Importance of attention and focus on life
17:00 - My life when I was 21
17:20 - Why conformity is bad?
20:22 - How to achieve excellence?
21:39 - From engineering to Youtube
22:42 - Daily Monastery routine
25:52 - Gratitude practice before sleep
26:24 - What do you do when you meditate?
28:23 - How to focus while meditating?
33:18 - Facing backlash for his choice of clothes
34:45 - Significance of saffron 
37:00 - Why monks shave their heads?
38:01 - Significance of the tika
39:08 - What is the need for rituals?
42:18 - Why is the youth not into spirituality?
46:23 - How to get youth into spirituality?
48:46 - Spiritual leaders vs imposters (Opportunists)
51:24 - Biggest danger in life
51:46 - Why should you get into meditation or spirituality?
55:20 - How to deal with breakups and heartaches? 
1:00:39 - My 3 profound spiritual experiences
1:02:20 - Why does Bhagwat Geeta have all the answers?
1:10:54 - How does your coaching help CEOs?
1:15:22 - How do spouses help your career?
1:17:36 - Can everyone become a billionaire?
1:20:15 - Don’t limit yourself
1:23:35 - 5 must-read books",2020-03-13T14:31:12Z,879
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugwphn-qq--SrgTzSAx4AaABAg,ayushi sharma,"Who's taking interview - engineer 
Who's giving interview - engineer 
Who's watching it - engineer😅",2020-05-08T03:23:19Z,92
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugxg9gf9xFxjRCNzMpt4AaABAg,Sushil,Never underestimate an engineer they are everywhere in any field 🤣,2020-03-15T03:47:47Z,343
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyehW4SxnQggS3FOhp4AaABAg,Naveer shain,"I m from Pakistan. In entire YouTube, this buddy is my favorite YouTuber. After this, Sadguru and Sk Shivani are my favorite personalities. ❤️❤️❤️",2020-03-19T09:18:41Z,366
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxndlY6e5tvFtCEOnp4AaABAg,Subham Das,"Bro i won't be bragging...but this entire podcast itself is a life map... whenever i will be at certain points in my life, i will be coming back to this podcast to take notes",2020-03-14T05:57:59Z,162
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugz3Mm43upF4SBm6q1x4AaABAg,Raika 101,"OMG! can't believe this really happening, gour gopal das on beerbiceps.",2020-03-13T14:44:04Z,774
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugy5a4K-3Lrl-0oOFTt4AaABAg,lovesh bhambhani,"Ranveer I Think after few years , we will getting a book naming - ""The Monk Who Sold his YouTube Channel""...Great work",2020-03-16T12:22:47Z,92
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyOZAFjtzLr5ElCZdh4AaABAg,Vednidhi Chhabbra,I love how Ranveer always suggests the right word when the speaker flinches a bit or tries to explain something (in a positive way) 😍,2020-04-24T14:02:54Z,18
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyvSZOdeM8unj4se4F4AaABAg,Mohsin Akhtar,"Omg...!!!... 
Such a value adding podcast 
Maybe have to watch it thrice or more to get to the true essence of this podcast.. 
Thank you Ranveer sir..! 
For bringing such an amazing experience!! 😇",2020-03-14T02:42:06Z,55
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwD91hT59mwtY25jB54AaABAg,Nitin Kumar,"Gaur Gopal Prabhu is a monk in ISKCON temple. He has been practicing one of your yogas mentioned in Bhagvatgeeta i.e. Bhaktiyoga for many years.
If you want to learn Bhaktiyog, visit nearby ISKCON temple and meet anyone who is wearing white or saffron clothes. I hope it transforms your life the way it did mine. May Krishna bless you. Hari bol.",2020-03-15T03:16:19Z,81
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxDe0TC-fWGTjA44Uh4AaABAg,Himanshu kelzare,"Can you have a podcast with Swami Mukundanada?
He's a monk as well.",2020-03-16T03:08:05Z,28
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugwx5PQfs1OR7oLGyJ54AaABAg,Vivek Raman,I like the fact that they doesn't impose even a single ad on these hour long podcast. We can see 10 ads on hour long videos on Youtube. Appreciate man!!,2020-03-14T16:39:06Z,14
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugya2V_Bw3fi3JJAZvd4AaABAg,fitness of kunal,"Three time haribol for gaur gopal prabhu 

Please like for prabhu ji",2020-03-16T18:15:45Z,14
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgymKLd1xACfecvwOGZ4AaABAg,Aashish Tank,this was the first podcast that i didnt wanted it to stop..it should have been going for about 2 hrs 3 hrs or even more than that..,2020-03-14T06:24:37Z,76
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgzEAAm08KMCwynwHYB4AaABAg,Reena Yumnam,"there is a saying ""a person intellect is known by the questions he asked "".

Ranveer, each episodes are epic and I am really inspired by the kind of question u bring out. u channelised every spheres and took to the highest point....!!!

thank u so much for adding values in my life .  I have never seen an influencer inviting this great spiritual man to a podcast show. thank u for bringing him to us.",2020-04-13T04:35:07Z,21
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxQieNcA_y-BvJ0uoF4AaABAg,Suraj Shukla,"Loved the particular , I've to watch it multiple times to completely absorb it😃
Please bring some more spiritual personalities after all these hard times😊, like Sadhguru, Dandapani, BK Shivani, Swami Mukundananda ji🤗🤗👍👍🙏🙏",2020-04-23T02:52:28Z,4
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwtvytKx38Yp5tX7vF4AaABAg,Abhishek Mishra,"Trust me, life is easy now.
Because the lessons we learn in life after doing a mistake, he is spreading it through podcasts.",2020-03-14T05:21:43Z,66
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugxj_oBtG99TEJ40lp54AaABAg,BigSmoke,"Bhai you have two personality 
1. 🍺 beerbiceps
2. Ranveer ( my favourite )",2020-03-14T10:25:16Z,2
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxYqO-_jyAS7ytyckx4AaABAg,yash k,"5 books recommended by Gaur Gopal Das :-
1.Bhagwat Geeta
2.Journey Home
3.Why leaders eat last
4.Positive Personality Profile Types
5.The Mahabharat",2020-03-13T16:43:06Z,449
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwFgZxhstVUeMivRVh4AaABAg,Syed Salahuddin,#Beauty catches the attention but character catches the heart.i really like the way he speaks gentle smile on his face makes him extraordinary. love you das G!👍#,2020-03-15T05:56:43Z,27
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyHv-sxkUPjq9Tr6oB4AaABAg,lagan khurana,"Man, Respect for putting out this content. Your questions were so apt.",2020-03-15T17:07:03Z,13
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxDBXU20dEetb_b4Mp4AaABAg,gunjan raghuwanshi,Hey ranveer  !!🖐I just wanna say one thing this episode really gives me so much information  about spiritual  life n lessons n thnku gopal das sir n also you...,2020-03-14T07:04:20Z,5
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwzpNXVVvGSqqsLVOB4AaABAg,G Holay,"There should be a meme with Ranveer going ""mmm, mm, mm"" while listening. 
Great content man!",2020-05-18T06:19:27Z,0
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxulIfAZQjbQ87dzw54AaABAg,Vishwas Bhat,Spiritual Monk and Modern Monk at one place 🌱🤙,2020-03-13T14:36:42Z,261
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugxmv2eFAPLP9C49RRJ4AaABAg,Bharnab Das,I travelled through himalayas in the world of spirituality after watching this!,2020-04-03T18:46:24Z,10
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgzW8sPATrI1CzEnZgJ4AaABAg,saksham aggarwal,I was really overwhelmed by this podcast i cried at the end ...... Thank-you Ranveer bhaiya♥️😊,2020-03-21T10:03:59Z,8
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugybg67RIqG2gigBfMl4AaABAg,The word storm,"This guy who's Interviewing the monk, is concerned abt the viewers and their comfort, more than anything else. The way he asked the monk to cut down the complicated words to simpler words, defines it  all!! ✌",2020-05-11T19:12:55Z,4
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugw941pwpw_822av_8h4AaABAg,Ashish technical,"When I listened him ,I was like WoW!! What a achievement He has got in his teenage 
Ranveer Sir is really very lucky",2020-03-18T13:08:14Z,8
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugw9ew23uURjgmqVpH94AaABAg,Sanjoy Bhattacharya,"We are with you Ranveer sir throughout the whole journey, I want to see this podcast becoming the most popular podcast not only in India but the world.😘
Keep bringing these knowledgable and positive people.",2020-03-13T14:43:23Z,378
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugyorvi1a5guwP4zC3J4AaABAg,Srinivas Nahak,one of the deepest podcast I've ever listened to,2020-03-16T13:13:09Z,6
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwdX9QfXCMME0_M6wh4AaABAg,xyzz,OMG he is so soft spoken and humble,2020-03-14T05:21:54Z,20
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxEBGgo7B9gPcAVJs14AaABAg,Prashant,FINALLY MY BRO BROUGHT THE REAL HUMAN ON THE SHOW....FINALLY......(wrote this even before starting the podcast),2020-03-14T17:28:20Z,12
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyZ1aLVGcp3T59rg094AaABAg,Sourav Official's,Plisss took an interview with World second richest self made Billionaire  Ritesh Agrawal....,2020-03-14T10:55:48Z,15
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwyXoHCPACDJIa1VG94AaABAg,Vedant Ramesh,"2 engineers , 2 spiritual men, two inspirational personalities, two positive  souls, Two people who have the guts to change the world ❤❤",2020-03-14T04:54:44Z,4
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyjglHNZwwB9Fiom7R4AaABAg,Man'sinspirational mansinspirational,"- don't  distract your mind from what your purpose( goal ).
- excellence only comes when you do something that truly resonates with your soul.",2020-05-02T06:01:30Z,2
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgxCJbcDqi3OMa1USht4AaABAg,upendra vernekar,"ranveer was about to cry when it was about relationship 
actually it was his question",2020-03-16T18:42:32Z,6
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyDbUxB3Tpe7sfZu5N4AaABAg,Samjukta Sinha,The whole of 1 hour 26 minutes and 31 seconds was worth it! Thank you Ranveer 😊 for coming up with this Beautiful podcast with this amazing person Gaur Gopal Das!!!,2020-03-27T07:19:59Z,4
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwsLQu6e5f01I5QE0x4AaABAg,Shiva Swami,The meaning of saffron changed the whole mind.love you sir,2020-04-11T19:38:55Z,6
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgzBbCefTva42pm2TDF4AaABAg,Naman Agrawal,"Thank you ranveer brother, your two podcasts are really life changing for me, 1st with sarvesh shashi ji and not this.. keep doing what you are doing.. best of luck.",2020-03-15T05:18:50Z,2
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgyQCTWLwiFE33d8bjR4AaABAg,Soham Chakravarty,"This is one of the most thought-provoking and wisdom filled podcasts. I personally picked up a lot of lessons and will have to re-watch it probably multiple times to digest everything. Thanks a lot! :)


Its only a matter of time Ranveer that your show will rule the world and become the best podcast show there! Please keep the great work coming!",2020-03-17T09:38:34Z,6
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugzmkm0plzu7BK8Jzhh4AaABAg,Ajay Mane,Trust me I am at that stage of life where every motivation is like an lifeless object..I don't get affected at all.,2020-03-18T08:24:26Z,10
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugz6N9GN0hMPBShKUI94AaABAg,saatwik mhetre,"Kudos to ranveer to have brought a legend like gaur gopal das ji on his show.

Its so legendary.",2020-03-13T15:55:34Z,164
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugw5L3RLcrKTlKGZgxl4AaABAg,Uncertain Hopes,"Even when Ranveer had a chance to speak so much about his journey, he pushed it aside just answering the required,  and continued on guruji's journey. Awesome bro!",2020-03-16T17:07:24Z,9
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgzNxI7xdkolFH4wboB4AaABAg,Nischal _12,Plz Never stop this if possible man!!! I can see you as one of the biggest  influencer than right now you are... Good work man#Respect,2020-03-18T06:34:06Z,4
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwBbofskljys6GpNTR4AaABAg,Chakravarthy C,Seek L0VE that can transcend into Wisdom. .,2020-05-17T12:54:17Z,0
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,Ugx3VItMs_EIlm1TayB4AaABAg,Satish A Javali,"Oh my holy dear God... This is the best union..
I have been longing for this and it finally arrived... So so happy",2020-03-14T04:52:11Z,4
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgwjugdMHGWER4rWcS14AaABAg,Vortex55 1,"Listened this podcast on jio saavn while travelling, never ever felt so detached to world and connected to self while watching the scenery",2020-03-16T19:53:09Z,20
"@Gaur Gopal Das  On Deep Life Lessons, Relationships &amp; Stories from Monk Life | The Ranveer Show 38",BeerBiceps,UgycWWeLc9vYBP-tb_x4AaABAg,Ashutosh Jadhav,"The Questions were Awesome and The Answers Amazing. I mean wow!!!!!!
Just Gone refreshed!",2020-03-21T07:58:23Z,2
